K,SVD_Precision,SVD_Recall,NMF_Precision,NMF_Recall
5,0.2749375406413635,0.7578082255939114,0.27513604161675626,0.7579861918842677
10,0.16433827304151408,0.7850677497761218,0.16444094595982067,0.7851497602240343
20,0.09344262295081969,0.7976826698318199,0.09352305007015983,0.7977518989561146
